Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TK,GV,Awards
2016-17,19,TOR,NHL,82,40,29,69,2,14,32,8,0,8,16,13,0,279,14.3,476,1446,17:38,530,600,46.9,61,21,76,44,"AR-1,AS-5,Byng-6,Calder-1,Hart-11,Selke-38"
2017-18,20,TOR,NHL,62,34,29,63,25,12,29,5,0,5,21,8,0,187,18.2,312,1124,18:08,375,313,54.5,61,16,59,59,Byng-8
2018-19,21,TOR,NHL,68,37,36,73,-9,12,25,12,0,5,28,8,0,251,14.7,447,1262,18:33,475,436,52.1,60,28,57,67,Byng-8
2019-20,22,TOR,NHL,70,47,33,80,19,8,35,12,0,5,20,13,0,290,16.2,504,1468,20:58,506,415,54.9,60,40,78,48,"AS-4,Byng-2,Hart-10,Selke-16"
2020-21,23,TOR,NHL,52,41,25,66,21,10,31,10,0,12,22,3,0,222,18.5,366,1121,21:33,450,417,51.9,47,57,47,53,"AS-2,Byng-3,Hart-2,Richard-1,Selke-27"
2021-22,24,TOR,NHL,73,60,46,106,20,18,44,16,0,10,33,13,0,348,17.2,599,1505,20:37,691,538,56.2,62,67,92,48,
